file,parse_ok,ver_sw,sys_name,hw,sys_autostart,mav_type,ekf2_en,n_topics,has_position,src_position,has_attitude,src_attitude,has_status,src_status,has_imu,src_imu,has_actuator,src_actuator,has_att_sp,src_att_sp,has_rates_sp,src_rates_sp,has_battery,src_battery,has_ekf_ratios,src_ekf_ratios,has_ekf_innov,src_ekf_innov,has_land_det,src_land_det,rate_vehicle_local_position,rate_ok_vehicle_local_position,rate_vehicle_attitude,rate_ok_vehicle_attitude,duration_s,duration_ok,dropout_frac,dropout_ok,airborne_src,airborne_s,airborne_ok,n_errors,topics_ok,rates_ok,SURVIVES,log_id,db_duration_s,db_mav_type,db_date
4552b22c-4ab4-41a4-adfd-1b3870ec87c8.ulg,True,17564416,PX4,CODEV_DP1000_V2,4065,2,,72,True,vehicle_local_position,True,vehicle_attitude,True,vehicle_status,True,sensor_combined,True,actuator_outputs,True,vehicle_attitude_setpoint,True,vehicle_rates_setpoint,True,battery_status,True,estimator_innovation_test_ratios,True,estimator_innovations,True,vehicle_land_detected,10.0,True,20.0,True,482.6,True,0.0,True,land_detected,417.4,True,0,True,True,True,4552b22c-4ab4-41a4-adfd-1b3870ec87c8,482,Quadrotor,2026-06-05
57d4e767-cc6a-4e8f-91cd-128866cd2dbb.ulg,True,17694848,PX4,PX4_FMU_V5,4001,2,,71,True,vehicle_local_position,True,vehicle_attitude,True,vehicle_status,True,sensor_combined,True,actuator_motors,True,vehicle_attitude_setpoint,True,vehicle_rates_setpoint,True,battery_status,True,estimator_innovation_test_ratios,True,estimator_innovations,True,vehicle_land_detected,10.0,True,20.0,True,124.2,True,0.0,True,land_detected,118.8,True,0,True,True,True,57d4e767-cc6a-4e8f-91cd-128866cd2dbb,124,Quadrotor,2024-06-25
1fff8320-09c3-409c-9ac0-ad4ff06986c5.ulg,True,17301504,PX4,PX4FMU_V2,4011,2,,29,True,vehicle_local_position,True,vehicle_attitude,True,vehicle_status,True,sensor_combined,True,actuator_outputs,True,vehicle_attitude_setpoint,True,vehicle_rates_setpoint,True,battery_status,True,estimator_status(legacy),True,estimator_status,True,vehicle_land_detected,9.7,True,31.2,True,319.0,True,0.0143,False,land_detected,274.6,True,0,True,True,False,1fff8320-09c3-409c-9ac0-ad4ff06986c5,319,Quadrotor,2018-07-31
f362da77-dd16-44ba-9c4e-e4ace509cbf6.ulg,True,17564672,PX4,ALLTECH_FMU_V6C,4040,2,,65,True,vehicle_local_position,True,vehicle_attitude,True,vehicle_status,True,sensor_combined,True,actuator_outputs,True,vehicle_attitude_setpoint,True,vehicle_rates_setpoint,True,battery_status,True,estimator_innovation_test_ratios,True,estimator_innovations,True,vehicle_land_detected,9.9,True,158.8,True,70.2,True,0.0111,False,land_detected,64.5,True,0,True,True,False,f362da77-dd16-44ba-9c4e-e4ace509cbf6,70,Quadrotor,2024-04-18
7f1c4197-60f4-4943-b983-3de0e0ed9d82.ulg,True,17826240,PX4,PX4_FMU_V6XRT,4019,2,1,71,True,vehicle_local_position,True,vehicle_attitude,True,vehicle_status,True,sensor_combined,True,actuator_motors,True,vehicle_attitude_setpoint,True,vehicle_rates_setpoint,True,battery_status,True,estimator_innovation_test_ratios,True,estimator_innovations,True,vehicle_land_detected,10.0,True,20.0,True,99.6,True,0.0,True,land_detected,94.8,True,0,True,True,True,7f1c4197-60f4-4943-b983-3de0e0ed9d82,99,Quadrotor,2025-10-22
3cbc498a-2d82-473f-bb1b-5d6a2378fb06.ulg,True,17564416,PX4,CODEV_DP1000_V2,4065,2,,71,True,vehicle_local_position,True,vehicle_attitude,True,vehicle_status,True,sensor_combined,True,actuator_outputs,True,vehicle_attitude_setpoint,True,vehicle_rates_setpoint,True,battery_status,True,estimator_innovation_test_ratios,True,estimator_innovations,True,vehicle_land_detected,9.9,True,19.6,True,599.7,True,0.0,True,land_detected,97.9,True,6,True,True,True,3cbc498a-2d82-473f-bb1b-5d6a2378fb06,599,Quadrotor,2025-08-01
680683b8-1856-4912-b956-38703f1d7b07.ulg,True,17760384,PX4,PX4_SITL,4001,2,1,78,True,vehicle_local_position,True,vehicle_attitude,True,vehicle_status,True,sensor_combined,True,actuator_motors,True,vehicle_attitude_setpoint,True,vehicle_rates_setpoint,True,battery_status,True,estimator_innovation_test_ratios,True,estimator_innovations,True,vehicle_land_detected,122.6,True,239.8,True,232.1,True,0.0,True,land_detected,227.3,True,0,True,True,True,680683b8-1856-4912-b956-38703f1d7b07,232,Quadrotor,2024-09-17
b59a4391-5fdd-4c74-9c68-43ad38dd6f06.ulg,True,17891392,PX4,PX4_SITL,6011,2,1,81,True,vehicle_local_position,True,vehicle_attitude,True,vehicle_status,True,sensor_combined,True,actuator_motors,True,vehicle_attitude_setpoint,True,vehicle_rates_setpoint,True,battery_status,True,estimator_innovation_test_ratios,True,estimator_innovations,True,vehicle_land_detected,125.0,True,250.0,True,338.8,True,0.0,True,land_detected,333.9,True,0,True,True,True,b59a4391-5fdd-4c74-9c68-43ad38dd6f06,338,Quadrotor,2026-04-20
5fd79cc7-e9a7-40ac-a2e7-c59b7e80ec5a.ulg,True,17761280,PX4,PX4_FMU_V6X,4001,2,1,69,True,vehicle_local_position,True,vehicle_attitude,True,vehicle_status,True,sensor_combined,True,actuator_motors,True,vehicle_attitude_setpoint,True,vehicle_rates_setpoint,True,battery_status,True,estimator_innovation_test_ratios,True,estimator_innovations,True,vehicle_land_detected,10.0,True,20.0,True,71.3,True,0.0,True,land_detected,64.8,True,0,True,True,True,5fd79cc7-e9a7-40ac-a2e7-c59b7e80ec5a,71,Quadrotor,2026-06-16
163bfd44-e390-490a-8749-6322c7a454fe.ulg,True,17630207,PX4,PX4_FMU_V6C,4001,2,,67,True,vehicle_local_position,True,vehicle_attitude,True,vehicle_status,True,sensor_combined,True,actuator_outputs,True,vehicle_attitude_setpoint,True,vehicle_rates_setpoint,True,battery_status,True,estimator_innovation_test_ratios,True,estimator_innovations,True,vehicle_land_detected,10.0,True,20.0,True,269.3,True,0.0,True,land_detected,260.5,True,0,True,True,True,163bfd44-e390-490a-8749-6322c7a454fe,269,Quadrotor,2024-04-24
